NG Price ($/mcf),Month,Year,All coal,Lignite,Subbituminous
6.42,1,2007,25.1475,20.0275,28.115
7.34,2,2007,25.1475,20.0275,28.115
6.9,3,2007,25.1475,20.0275,28.115
7.29,4,2007,25.1475,20.0275,28.115
7.51,5,2007,25.1475,20.0275,28.115
7.48,6,2007,25.1475,20.0275,28.115
6.55,7,2007,25.1475,20.0275,28.115
6.19,8,2007,25.1475,20.0275,28.115
5.88,9,2007,25.1475,20.0275,28.115
6.68,10,2007,25.1475,20.0275,28.115
6.58,11,2007,25.1475,20.0275,28.115
7.0,12,2007,25.1475,20.0275,28.115
7.73,1,2008,24.32,19.38,26.72
8.08,2,2008,24.32,19.38,26.72
8.92,3,2008,24.32,19.38,26.72
9.95,4,2008,24.94,19.36,28.21
10.48,5,2008,24.94,19.36,28.21
12.18,6,2008,24.94,19.36,28.21
11.34,7,2008,25.91,20.11,29.23
8.63,8,2008,25.91,20.11,29.23
7.1,9,2008,25.91,20.11,29.23
6.26,10,2008,25.42,21.26,28.3
5.72,11,2008,25.42,21.26,28.3
5.91,12,2008,25.42,21.26,28.3
5.24,1,2009,25.92,22.4,27.88
4.42,2,2009,25.92,22.4,27.88
3.67,3,2009,25.92,22.4,27.88
3.62,4,2009,25.73,22.72,27.46
3.82,5,2009,25.73,22.72,27.46
3.87,6,2009,25.73,22.72,27.46
3.77,7,2009,26.77,24.04,27.79
3.54,8,2009,26.77,24.04,27.79
3.13,9,2009,26.77,24.04,27.79
4.05,10,2009,26.48,24.84,27.57
4.11,11,2009,26.48,24.84,27.57
5.26,12,2009,26.48,24.84,27.57
6.19,1,2010,29.33,24.99,32.05
5.6,2,2010,29.33,24.99,32.05
4.76,3,2010,29.33,24.99,32.05
4.21,4,2010,28.83,24.23,31.77
4.32,5,2010,28.83,24.23,31.77
4.8,6,2010,28.83,24.23,31.77
4.81,7,2010,28.46,20.45,32.16
4.62,8,2010,28.46,20.45,32.16
4.12,9,2010,28.46,20.45,32.16
3.83,10,2010,27.48,21.91,32.38
3.81,11,2010,27.48,21.91,32.38
4.54,12,2010,27.48,21.91,32.38
4.51,1,2011,29.38,22.72,32.83
4.75,2,2011,29.38,22.72,32.83
4.22,3,2011,29.38,22.72,32.83
4.53,4,2011,28.33,21.47,33.35
4.56,5,2011,28.33,21.47,33.35
4.75,6,2011,28.33,21.47,33.35
4.7,7,2011,28.32,21.75,33.92
4.45,8,2011,28.32,21.75,33.92
4.22,9,2011,28.32,21.75,33.92
3.9,10,2011,28.77,22.29,34.37
3.6,11,2011,28.77,22.29,34.37
3.55,12,2011,28.77,22.29,34.37
3.12,1,2012,29.03,24.21,32.41
2.9,2,2012,29.03,24.21,32.41
2.51,3,2012,29.03,24.21,32.41
2.26,4,2012,30.12,26.41,31.85
2.54,5,2012,30.12,26.41,31.85
2.71,6,2012,30.12,26.41,31.85
3.13,7,2012,29.06,23.66,33.29
3.2,8,2012,29.06,23.66,33.29
3.04,9,2012,29.06,23.66,33.29
3.46,10,2012,27.87,22.55,33.46
3.74,11,2012,27.87,22.55,33.46
3.72,12,2012,27.87,22.55,33.46
3.57,1,2013,31.22,23.29,36.54
3.6,2,2013,31.22,23.29,36.54
3.96,3,2013,31.22,23.29,36.54
4.35,4,2013,31.45,23.15,37.03
4.34,5,2013,31.45,23.15,37.03
4.15,6,2013,31.45,23.15,37.03
3.89,7,2013,29.91,23.23,35.18
3.65,8,2013,29.91,23.23,35.18
3.81,9,2013,29.91,23.23,35.18
3.79,10,2013,28.99,22.79,35.2
3.87,11,2013,28.99,22.79,35.2
4.4,12,2013,28.99,22.79,35.2
4.82,1,2014,31.77,23.26,36.87
6.54,2,2014,31.77,23.26,36.87
5.24,3,2014,31.77,23.26,36.87
4.86,4,2014,30.84,23.72,35.81
4.79,5,2014,30.84,23.72,35.81
4.85,6,2014,30.84,23.72,35.81
4.41,7,2014,30.72,23.75,36.46
4.13,8,2014,30.72,23.75,36.46
4.19,9,2014,30.72,23.75,36.46
4.1,10,2014,29.75,23.01,35.53
4.21,11,2014,29.75,23.01,35.53
4.01,12,2014,29.75,23.01,35.53
3.26,1,2015,31.88,24.24,36.17
3.09,2,2015,31.88,24.24,36.17
3.02,3,2015,31.88,24.24,36.17
2.82,4,2015,30.43,24.92,34.05
3.02,5,2015,30.43,24.92,34.05
2.98,6,2015,30.43,24.92,34.05
3.03,7,2015,31.71,27.61,33.78
3.01,8,2015,31.71,27.61,33.78
2.88,9,2015,31.71,27.61,33.78
2.66,10,2015,28.53,24.04,32.55
2.3,11,2015,28.53,24.04,32.55
2.23,12,2015,28.53,24.04,32.55
